kaptCode,schul_nm,schul_dstnc
A13984813,서울신계초등학교,5
A13984814,서울신계초등학교,5
A13985103,서울신계초등학교,227
A13985105,서울신계초등학교,167
A13985106,서울신계초등학교,387
A13985107,서울신계초등학교,66
A13985201,서울월계초등학교,385
A13987501,서울선곡초등학교,380
A13987502,서울연지초등학교,355
A13987503,서울선곡초등학교,372
A13991016,서울연지초등학교,98
A13991017,서울신화초등학교,172
A13991018,서울월계초등학교,19
A13995602,서울녹천초등학교,141
A10022152,서울공연초등학교,103
A10023478,서울공릉초등학교,90
A10023990,서울공릉초등학교,38
A10023991,서울태릉초등학교,248
A10026289,서울공연초등학교,162
A10027622,서울공릉초등학교,59
A13924003,서울공연초등학교,367
A13924205,서울공연초등학교,266
A13974401,서울공릉초등학교,242
A13980004,서울태릉초등학교,21
A13980006,서울태릉초등학교,12
A13980009,서울태릉초등학교,78
A13980010,서울태랑초등학교,163
A13980012,서울태랑초등학교,124
A13980014,서울태랑초등학교,199
A13980017,서울태랑초등학교,161
A13980018,서울태랑초등학교,122
A13980019,서울태릉초등학교,14
A13980102,서울공연초등학교,6
A13980105,서울용원초등학교,202
A13980107,서울용원초등학교,45
A13980108,서울공연초등학교,122
A13980401,서울태릉초등학교,304
A13980402,서울공연초등학교,157
A13980407,서울태랑초등학교,398
A13980411,서울공연초등학교,138
A13980413,서울태릉초등학교,238
A13980415,서울태릉초등학교,337
A13980509,서울공연초등학교,221
A13980510,서울용원초등학교,82
A13980511,서울용원초등학교,25
A13980512,서울용원초등학교,0
A13980513,서울용원초등학교,21
A13980706,서울공릉초등학교,155
A13980801,서울공릉초등학교,57
A13980803,서울공릉초등학교,129
A13994501,서울공연초등학교,143
A13923102,서울연촌초등학교,346
A13923103,서울용동초등학교,189
A13923104,서울연촌초등학교,165
A13923106,서울용동초등학교,225
A13923108,서울연촌초등학교,99
A13977913,서울용동초등학교,213
A13987205,서울연촌초등학교,297
A13987302,서울중현초등학교,3
A13987303,서울중평초등학교,21
A13987304,서울중현초등학교,21
A13987305,서울중현초등학교,192
A13987306,서울중평초등학교,13
A13993503,서울용동초등학교,189
A10020593,서울노일초등학교,283
A10020986,서울상계초등학교,187
A10021185,서울상계초등학교,250
A10024434,서울노일초등학교,396
A10024547,서울상곡초등학교,12
A10024770,서울노일초등학교,266
A10024778,서울노일초등학교,219
A10027533,서울노원초등학교,313
A10027601,서울상천초등학교,224
A13920001,서울노원초등학교,60
A13920102,서울노원초등학교,176
A13920104,서울노원초등학교,136
A13920105,서울노원초등학교,77
A13920106,서울노원초등학교,357
A13920205,서울중계초등학교,296
A13920209,서울상계초등학교,388
A13920501,서울온곡초등학교,155
A13920506,서울계상초등학교,266
A13920703,서울상수초등학교,20
A13920706,서울상수초등학교,210
A13920707,서울상수초등학교,114
A13920802,서울상경초등학교,0
A13920803,서울상경초등학교,0
A13920804,서울동일초등학교,20
A13921005,서울상곡초등학교,21
A13971501,서울상천초등학교,126
A13971502,서울당현초등학교,347
A13973201,서울상계초등학교,60
A13973202,서울상계초등학교,250
A13974101,서울수락초등학교,51
A13974102,서울수락초등학교,160
A13974103,서울수락초등학교,35
A13981006,서울덕암초등학교,348
A13981208,서울덕암초등학교,7
A13981304,서울계상초등학교,174
A13981402,서울덕암초등학교,9
A13981405,서울덕암초등학교,263
A13981407,서울계상초등학교,394
A13981604,서울상계초등학교,107
A13981606,서울중계초등학교,70
A13981608,서울상계초등학교,94
A13981901,서울상원초등학교,13
A13981903,서울상원초등학교,20
A13982002,서울온곡초등학교,58
A13982003,서울온곡초등학교,20
A13982005,서울계상초등학교,34
A13982101,서울상계초등학교,49
A13982103,서울중계초등학교,130
A13982202,서울상원초등학교,0
A13982301,서울동일초등학교,1
A13982604,서울온곡초등학교,1
A13982701,서울상월초등학교,129
A13982702,서울상월초등학교,10
A13982704,서울상월초등학교,349
A13983004,서울당현초등학교,2
A13983101,서울상천초등학교,372
A13983105,서울상천초등학교,136
A13983608,서울노원초등학교,5
A13983707,서울노일초등학교,85
A13983709,서울노일초등학교,295
A13983712,서울노일초등학교,68
A13983713,서울노일초등학교,315
A13983801,서울노원초등학교,237
A13983803,서울노일초등학교,264
A13983810,서울수락초등학교,391
A13983811,서울수락초등학교,138
A13983815,서울수락초등학교,302
A13983816,서울수락초등학교,129
A13989701,서울덕암초등학교,8
A13994302,서울상수초등학교,112
A10022333,서울중계초등학교,165
A10023027,서울중계초등학교,164
A13922002,서울수암초등학교,8
A13922102,서울을지초등학교,41
A13922103,서울원광초등학교,41
A13922108,서울을지초등학교,86
A13922110,서울원광초등학교,112
A13922111,서울을지초등학교,352
A13922114,서울원광초등학교,1
A13922406,서울원광초등학교,52
A13922901,서울불암초등학교,349
A13922903,서울수암초등학교,171
A13922904,서울수암초등학교,8
A13922905,서울수암초등학교,8
A13922907,서울불암초등학교,56
A13922908,서울불암초등학교,164
A13922909,서울불암초등학교,187
A13922910,서울수암초등학교,71
A13972601,서울청계초등학교,116
